Y,age,gender,urban,party,fam_size,hukou,ethno,education,age_gap,edu_gap,gender_pref,mar_satisfy,work,work_hour,insurance,care_from_par,fin_from_par,fin_par,care_par,internet,social_trust,social_status,fixed_mind,growth_mind,religion,gover_evalu,reg_eldercare,reg_childcare,health,reg_medicare,house,fam_income,fam_income_rel,area,reg_econ,reg_svc,reg_urgap,reg_eduratio,reg_mobility
2,49,0,0,0,3,0,1,6,0,0,1,3,1,46,2,0,0,1,1,0,5.25,3,3,3.5,0,4,7,6,1,4,1,75000,3,2,62106,10784.79538,2.058298123,0.14573039,0.7231667
2,49,1,0,0,3,0,1,6,0,0,1,5,1,36,3,0,0,1,0,30,6.75,3,4,1,0,3,10,10,1,2,1,75000,3,2,62106,10784.79538,2.058298123,0.14573039,0.7231667
2,25,0,1,1,7,0,1,9,2,0,1,4,1,80,2,0,1,1,0,120,3.25,1,1,5,0,1,10,10,3,2,1,200000,3,2,62106,10784.79538,2.058298123,0.14573039,0.7231667
2,35,0,1,0,4,1,1,15,1,0,1,4,1,20,1,0,0,0,0,240,7.25,3,2.5,5,0,2,8,8,4,4,1,205000,4,2,62106,10784.79538,2.058298123,0.14573039,0.7231667
1,46,1,0,0,4,1,1,16,5,1,0,4,1,40,5,0,0,0,1,49,5.75,3,2,3,0,4,8,8,3,4,0,70000,3,1,190313,34199.40476,2.417649767,0.08580445,0.9417853
1,45,0,1,0,4,1,1,15,4,1,1,5,1,63,3,0,0,1,0,240,7.25,4,3,3,0,5,9,7,4,4,0,370000,4,1,190313,34199.40476,2.417649767,0.08580445,0.9417853
1,49,1,1,0,4,1,1,16,4,1,1,5,1,40,5,1,1,1,1,150,7.75,3,2.5,5,0,4,6,6,4,4,0,370000,4,1,190313,34199.40476,2.417649767,0.08580445,0.9417853
1,45,0,1,0,3,1,1,12,21,3,1,5,0,0,2,0,0,1,0,120,8.25,3,2.5,3,0,4,5,5,5,4,1,90000,3,1,190313,34199.40476,2.417649767,0.08580445,0.9417853
2,36,1,1,0,7,1,1,12,2,3,1,5,0,0,2,1,1,1,0,600,3.75,2,2.5,5,0,3,7,3,4,4,0,250000,3,1,190313,34199.40476,2.417649767,0.08580445,0.9417853
2,42,0,1,0,4,1,1,15,0,1,0,3,2,40,5,1,1,1,0,600,5.5,3,3,3,0,3,10,10,3,4,1,204000,4,1,190313,34199.40476,2.417649767,0.08580445,0.9417853
2,53,1,1,1,3,1,1,9,5,6,1,5,1,60,5,1,1,0,1,60,3,3,3.5,2.5,0,2,10,10,3,2,1,150000,4,1,190313,34199.40476,2.417649767,0.08580445,0.9417853
1,54,1,1,0,3,1,1,6,5,6,1,5,1,21,1,0,0,0,0,0,5,1,3,4,0,5,8,0,1,5,1,20000,3,1,190313,34199.40476,2.417649767,0.08580445,0.9417853
1,44,1,1,0,5,1,1,12,1,0,1,4,0,0,2,0,1,0,1,180,7.25,3,3.5,3,0,3,10,6,3,4,0,170000,3,1,190313,34199.40476,2.417649767,0.08580445,0.9417853
1,43,0,1,0,5,1,1,12,1,0,1,4,0,0,2,0,0,0,0,720,4.5,4,3.5,3.5,0,2,8,7,5,4,0,170000,3,1,190313,34199.40476,2.417649767,0.08580445,0.9417853
3,46,1,1,0,2,0,1,6,1,6,1,5,1,91,2,1,1,1,0,120,6,3,3,4,0,3,5,6,5,3,0,100000,4,1,190313,34199.40476,2.417649767,0.08580445,0.9417853
3,45,0,1,0,2,0,1,0,1,6,1,4,1,63,1,0,0,1,1,120,7,4,3,3.5,0,5,6,3,3,3,0,100000,4,1,190313,34199.40476,2.417649767,0.08580445,0.9417853
1,39,1,1,0,5,1,1,15,1,0,0,4,1,50,0,1,1,0,1,60,3,1,2.5,3,0,2,7,1,5,3,1,450000,4,1,190313,34199.40476,2.417649767,0.08580445,0.9417853
1,38,0,1,0,5,1,1,15,1,0,1,5,1,40,5,0,0,1,0,180,4.25,3,3,5,0,4,5,1,3,3,1,450000,4,1,190313,34199.40476,2.417649767,0.08580445,0.9417853
1,42,1,1,0,3,1,1,16,4,0,1,5,1,45,5,0,1,0,1,180,6.75,4,2,4,0,4,8,8,3,4,1,280000,4,1,190313,34199.40476,2.417649767,0.08580445,0.9417853
1,38,0,1,0,3,1,1,16,4,0,1,4,1,40,5,0,0,0,1,120,6.25,2,2.5,4,0,4,6,7,3,2,1,280000,4,1,190313,34199.40476,2.417649767,0.08580445,0.9417853
1,40,0,1,1,5,1,0,19,1,0,1,3,1,32,5,1,0,1,1,300,7,4,1,1.5,0,4,9,5,3,4,0,1180000,4,1,190313,34199.40476,2.417649767,0.08580445,0.9417853
1,52,1,1,0,3,1,0,16,2,4,0,5,1,15,5,0,0,1,1,180,5.75,3,5,1,0,3,8,3,3,1,1,103500,4,1,190313,34199.40476,2.417649767,0.08580445,0.9417853
2,46,1,0,0,6,0,1,9,4,9,1,5,1,70,2,1,0,1,0,0,6.25,2,3,3,0,4,8,8,5,4,1,80000,2,2,62106,10784.79538,2.058298123,0.14573039,0.7231667
2,31,0,1,0,4,0,1,12,8,0,0,4,0,0,2,0,1,1,0,360,6.5,2,2.5,2,0,4,8,7,4,4,0,30000,3,1,101905,14642.55353,2.411433172,0.11107676,0.7108617
2,36,1,1,1,3,0,1,15,0,0,1,5,1,40,5,1,0,1,0,60,5.5,2,3,3,0,3,10,6,3,4,1,150000,4,2,62106,10784.79538,2.058298123,0.14573039,0.7231667
2,55,1,0,0,6,1,1,9,0,3,1,5,1,12,2,0,0,0,0,0,7,3,2.5,4.5,0,5,0,1,3,4,1,45620,1,2,62106,10784.79538,2.058298123,0.14573039,0.7231667
2,31,0,0,0,6,0,1,9,1,0,1,3,0,0,2,1,1,0,0,300,7,1,1,4.5,0,2,8,7,1,4,1,45620,1,2,62106,10784.79538,2.058298123,0.14573039,0.7231667
2,28,0,0,0,4,0,1,15,3,9,1,5,1,40,2,0,0,0,0,240,3.75,3,2,4.5,0,4,4,4,3,4,0,100000,4,2,62106,10784.79538,2.058298123,0.14573039,0.7231667
1,32,0,0,1,4,0,1,9,1,0,1,3,1,6,2,0,1,0,1,200,4.5,3,3,2.5,0,4,7,7,4,4,0,30000,1,2,62106,10784.79538,2.058298123,0.14573039,0.7231667
1,43,1,1,0,3,0,1,6,1,0,0,5,1,56,2,0,0,1,1,120,7.25,3,1,5,0,4,3,3,5,3,0,120000,4,1,101905,14642.55353,2.411433172,0.11107676,0.7108617
1,44,0,1,0,3,0,1,6,1,0,1,5,1,40,5,0,0,0,0,0,5,1,1.5,5,0,2,8,8,4,4,0,120000,4,1,101905,14642.55353,2.411433172,0.11107676,0.7108617
2,38,0,1,0,4,1,1,12,3,4,1,5,2,40,5,1,1,1,1,200,6,3,2,3.5,0,4,7,7,4,4,1,90000,2,2,73598,13615.39976,2.419983628,0.14213363,0.7547863
