Y,age,gender,urban,party,fam_size,hukou,ethno,education,age_gap,edu_gap,gender_pref,mar_satisfy,work,work_hour,insurance,care_from_par,fin_from_par,fin_par,care_par,internet,social_trust,social_status,fixed_mind,growth_mind,religion,gover_evalu,reg_eldercare,reg_childcare,health,reg_medicare,fam_eduratio,house,fam_income,fam_income_rel,area,reg_svc,reg_urgap,reg_edu
2,42,0,1,0,4,1,1,15,0,1,0,3,2,40,5,1,1,1,0,600,5.50 ,3,3.00 ,3.00 ,0,3,10,10,3,4,0.100 ,1,204000,4,1,34199.4048 ,2.418 ,46.0200 
2,53,1,1,1,3,1,1,9,5,6,1,5,1,60,5,1,1,0,1,60,3.00 ,3,3.50 ,2.50 ,0,2,10,10,3,2,0.000 ,1,150000,4,1,34199.4048 ,2.418 ,46.0200 
1,54,1,1,0,3,1,1,6,5,6,1,5,1,21,1,0,0,0,0,0,5.00 ,1,3.00 ,4.00 ,0,5,8,0,1,5,0.000 ,1,20000,3,1,34199.4048 ,2.418 ,46.0200 
1,44,1,1,0,5,1,1,12,1,0,1,4,0,0,2,0,1,0,1,180,7.25 ,3,3.50 ,3.00 ,0,3,10,6,3,4,0.010 ,0,170000,3,1,34199.4048 ,2.418 ,46.0200 
1,43,0,1,0,5,1,1,12,1,0,1,4,0,0,2,0,0,0,0,720,4.50 ,4,3.50 ,3.50 ,0,2,8,7,5,4,0.010 ,0,170000,3,1,34199.4048 ,2.418 ,46.0200 
4,46,1,1,0,2,0,1,6,1,6,1,5,1,91,2,1,1,1,0,120,6.00 ,3,3.00 ,4.00 ,0,3,5,6,5,3,0.200 ,0,100000,4,1,34199.4048 ,2.418 ,46.0200 
3,45,0,1,0,2,0,1,0,1,6,1,4,1,63,1,0,0,1,1,120,7.00 ,4,3.00 ,3.50 ,0,5,6,3,3,3,0.200 ,0,100000,4,1,34199.4048 ,2.418 ,46.0200 
1,39,1,1,0,5,1,1,15,1,0,0,4,1,50,0,1,1,0,1,60,3.00 ,1,2.50 ,3.00 ,0,2,7,1,5,3,0.267 ,1,450000,4,1,34199.4048 ,2.418 ,46.0200 
1,38,0,1,0,5,1,1,15,1,0,1,5,1,40,5,0,0,1,0,180,4.25 ,3,3.00 ,5.00 ,0,4,5,1,3,3,0.267 ,1,450000,4,1,34199.4048 ,2.418 ,46.0200 
1,42,1,1,0,3,1,1,16,4,0,1,5,1,45,5,0,1,0,1,180,6.75 ,4,2.00 ,4.00 ,0,4,8,8,3,4,0.080 ,1,280000,4,1,34199.4048 ,2.418 ,46.0200 
1,38,0,1,0,3,1,1,16,4,0,1,4,1,40,5,0,0,0,1,120,6.25 ,2,2.50 ,4.00 ,0,4,6,7,3,2,0.080 ,1,280000,4,1,34199.4048 ,2.418 ,46.0200 
1,40,0,1,1,5,1,0,19,1,0,1,3,1,32,5,1,0,1,1,300,7.00 ,4,1.00 ,1.50 ,0,4,9,5,3,4,0.340 ,0,1180000,4,1,34199.4048 ,2.418 ,46.0200 
1,52,1,1,0,3,1,0,16,2,4,0,5,1,15,5,0,0,1,1,180,5.75 ,3,5.00 ,1.00 ,0,3,8,3,3,1,0.000 ,1,103500,4,1,34199.4048 ,2.418 ,46.0200 
2,46,1,0,0,6,0,1,9,4,9,1,5,1,70,2,1,0,1,0,0,6.25 ,2,3.00 ,3.00 ,0,4,8,8,5,4,0.000 ,1,80000,2,2,10784.7954 ,2.058 ,16.9900 
2,31,0,1,0,4,0,1,12,8,0,0,4,0,0,2,0,1,1,0,360,6.50 ,2,2.50 ,2.00 ,0,4,8,7,4,4,0.025 ,0,30000,3,1,14642.5535 ,2.411 ,15.9900 
2,36,1,1,1,3,0,1,15,0,0,1,5,1,40,5,1,0,1,0,60,5.50 ,2,3.00 ,3.00 ,0,3,10,6,3,4,0.167 ,1,150000,4,2,10784.7954 ,2.058 ,16.9900 
2,55,1,0,0,6,1,1,9,0,3,1,5,1,12,2,0,0,0,0,0,7.00 ,3,2.50 ,4.50 ,0,5,0,1,3,4,0.002 ,1,45620,1,2,10784.7954 ,2.058 ,16.9900 
2,31,0,0,0,6,0,1,9,1,0,1,3,0,0,2,1,1,0,0,300,7.00 ,1,1.00 ,4.50 ,0,2,8,7,1,4,0.002 ,1,45620,1,2,10784.7954 ,2.058 ,16.9900 
2,28,0,0,0,4,0,1,15,3,9,1,5,1,40,2,0,0,0,0,240,3.75 ,3,2.00 ,4.50 ,0,4,4,4,3,4,0.088 ,0,100000,4,2,10784.7954 ,2.058 ,16.9900 
1,32,0,0,1,4,0,1,9,1,0,1,3,1,6,2,0,1,0,1,200,4.50 ,3,3.00 ,2.50 ,0,4,7,7,4,4,0.017 ,0,30000,1,2,10784.7954 ,2.058 ,16.9900 
1,43,1,1,0,3,0,1,6,1,0,0,5,1,56,2,0,0,1,1,120,7.25 ,3,1.00 ,5.00 ,0,4,3,3,5,3,0.400 ,0,120000,4,1,14642.5535 ,2.411 ,15.9900 
1,44,0,1,0,3,0,1,6,1,0,1,5,1,40,5,0,0,0,0,0,5.00 ,1,1.50 ,5.00 ,0,2,8,8,4,4,0.400 ,0,120000,4,1,14642.5535 ,2.411 ,15.9900 
2,38,0,1,0,4,1,1,12,3,4,1,5,2,40,5,1,1,1,1,200,6.00 ,3,2.00 ,3.50 ,0,4,7,7,4,4,0.400 ,1,90000,2,2,13615.3998 ,2.420 ,26.7600 
2,41,1,1,1,4,1,1,16,3,4,1,5,2,48,5,0,0,0,0,300,3.25 ,3,2.00 ,2.50 ,0,4,2,2,3,4,0.400 ,1,90000,2,2,13615.3998 ,2.420 ,26.7600 
2,41,0,1,0,4,0,1,12,2,3,1,4,1,25,2,0,0,1,0,0,2.50 ,3,3.00 ,3.50 ,0,3,8,7,3,4,0.111 ,1,60000,2,2,10784.7954 ,2.058 ,16.9900 
2,29,0,0,0,3,0,1,9,2,0,1,3,1,70,2,1,0,0,0,300,6.50 ,1,1.50 ,4.00 ,0,3,7,5,3,4,0.083 ,0,124550,3,2,10784.7954 ,2.058 ,16.9900 
2,41,1,1,0,4,0,1,12,3,0,1,5,1,60,2,0,0,1,0,60,8.00 ,3,3.00 ,3.50 ,0,4,6,5,3,4,0.043 ,0,300000,4,1,14642.5535 ,2.411 ,15.9900 
2,38,0,1,0,4,0,1,12,3,0,1,3,1,96,2,0,0,1,0,600,7.50 ,4,1.50 ,2.00 ,0,3,7,8,3,4,0.043 ,0,300000,4,1,14642.5535 ,2.411 ,15.9900 
2,29,0,1,0,5,0,1,9,2,0,1,3,1,6,2,0,0,1,0,5,5.75 ,4,3.00 ,3.50 ,0,1,9,9,3,4,0.120 ,1,80000,2,2,10784.7954 ,2.058 ,16.9900 
1,38,0,1,0,2,0,1,9,0,0,1,3,1,70,2,1,0,1,0,420,6.50 ,3,3.50 ,4.00 ,0,3,8,6,4,2,0.000 ,1,80000,3,2,13615.3998 ,2.420 ,26.7600 
2,38,1,0,0,6,0,1,6,3,3,1,3,1,80,2,1,0,0,0,180,4.00 ,3,4.00 ,4.50 ,0,4,6,5,3,2,0.000 ,1,150000,3,2,10784.7954 ,2.058 ,16.9900 
