Y,age,gender,urban,party,fam_size,hukou,ethno,education,age_gap,edu_gap,gender_pref,mar_satisfy,work,work_hour,insurance,care_from_par,fin_from_par,fin_par,care_par,internet,social_trust,social_status,fixed_mind,growth_mind,religion,gover_evalu,reg_eldercare,reg_childcare,health,reg_medicare,house,fam_income_rel,area,reg_econ,reg_svc,reg_urgap,reg_eduratio,reg_mobility,fam_income1
1,46,1,0,0,4,1,1,16,5,1,0,4,1,40,5,0,0,0,1,49,6,3,2,3,0,4,8,8,3,4,0,3,1,190313,34199,2,0,1,11
1,45,0,1,0,4,1,1,15,4,1,1,5,1,63,3,0,0,1,0,240,7,4,3,3,0,5,9,7,4,4,0,4,1,190313,34199,2,0,1,13
1,49,1,1,0,4,1,1,16,4,1,1,5,1,40,5,1,1,1,1,150,8,3,3,5,0,4,6,6,4,4,0,4,1,190313,34199,2,0,1,13
1,45,0,1,0,3,1,1,12,21,3,1,5,0,0,2,0,0,1,0,120,8,3,3,3,0,4,5,5,5,4,1,3,1,190313,34199,2,0,1,11
2,36,1,1,0,7,1,1,12,2,3,1,5,0,0,2,1,1,1,0,600,4,2,3,5,0,3,7,3,4,4,0,3,1,190313,34199,2,0,1,12
2,42,0,1,0,4,1,1,15,0,1,0,3,2,40,5,1,1,1,0,600,6,3,3,3,0,3,10,10,3,4,1,4,1,190313,34199,2,0,1,12
2,53,1,1,1,3,1,1,9,5,6,1,5,1,60,5,1,1,0,1,60,3,3,4,3,0,2,10,10,3,2,1,4,1,190313,34199,2,0,1,12
1,54,1,1,0,3,1,1,6,5,6,1,5,1,21,1,0,0,0,0,0,5,1,3,4,0,5,8,0,1,5,1,3,1,190313,34199,2,0,1,10
1,44,1,1,0,5,1,1,12,1,0,1,4,0,0,2,0,1,0,1,180,7,3,4,3,0,3,10,6,3,4,0,3,1,190313,34199,2,0,1,12
1,43,0,1,0,5,1,1,12,1,0,1,4,0,0,2,0,0,0,0,720,5,4,4,4,0,2,8,7,5,4,0,3,1,190313,34199,2,0,1,12
3,46,1,1,0,2,0,1,6,1,6,1,5,1,91,2,1,1,1,0,120,6,3,3,4,0,3,5,6,5,3,0,4,1,190313,34199,2,0,1,12
3,45,0,1,0,2,0,1,0,1,6,1,4,1,63,1,0,0,1,1,120,7,4,3,4,0,5,6,3,3,3,0,4,1,190313,34199,2,0,1,12
1,39,1,1,0,5,1,1,15,1,0,0,4,1,50,0,1,1,0,1,60,3,1,3,3,0,2,7,1,5,3,1,4,1,190313,34199,2,0,1,13
1,38,0,1,0,5,1,1,15,1,0,1,5,1,40,5,0,0,1,0,180,4,3,3,5,0,4,5,1,3,3,1,4,1,190313,34199,2,0,1,13
1,42,1,1,0,3,1,1,16,4,0,1,5,1,45,5,0,1,0,1,180,7,4,2,4,0,4,8,8,3,4,1,4,1,190313,34199,2,0,1,13
1,38,0,1,0,3,1,1,16,4,0,1,4,1,40,5,0,0,0,1,120,6,2,3,4,0,4,6,7,3,2,1,4,1,190313,34199,2,0,1,13
1,40,0,1,1,5,1,0,19,1,0,1,3,1,32,5,1,0,1,1,300,7,4,1,2,0,4,9,5,3,4,0,4,1,190313,34199,2,0,1,13
1,52,1,1,0,3,1,0,16,2,4,0,5,1,15,5,0,0,1,1,180,6,3,5,1,0,3,8,3,3,1,1,4,1,190313,34199,2,0,1,12
2,46,1,0,0,6,0,1,9,4,9,1,5,1,70,2,1,0,1,0,0,6,2,3,3,0,4,8,8,5,4,1,2,2,62106,10785,2,0,1,11
2,31,0,1,0,4,0,1,12,8,0,0,4,0,0,2,0,1,1,0,360,7,2,3,2,0,4,8,7,4,4,0,3,1,101905,14643,2,0,1,10
2,36,1,1,1,3,0,1,15,0,0,1,5,1,40,5,1,0,1,0,60,6,2,3,3,0,3,10,6,3,4,1,4,2,62106,10785,2,0,1,12
2,55,1,0,0,6,1,1,9,0,3,1,5,1,12,2,0,0,0,0,0,7,3,3,5,0,5,0,1,3,4,1,1,2,62106,10785,2,0,1,11
2,31,0,0,0,6,0,1,9,1,0,1,3,0,0,2,1,1,0,0,300,7,1,1,5,0,2,8,7,1,4,1,1,2,62106,10785,2,0,1,11
2,28,0,0,0,4,0,1,15,3,9,1,5,1,40,2,0,0,0,0,240,4,3,2,5,0,4,4,4,3,4,0,4,2,62106,10785,2,0,1,12
1,32,0,0,1,4,0,1,9,1,0,1,3,1,6,2,0,1,0,1,200,5,3,3,3,0,4,7,7,4,4,0,1,2,62106,10785,2,0,1,10
1,43,1,1,0,3,0,1,6,1,0,0,5,1,56,2,0,0,1,1,120,7,3,1,5,0,4,3,3,5,3,0,4,1,101905,14643,2,0,1,12
1,44,0,1,0,3,0,1,6,1,0,1,5,1,40,5,0,0,0,0,0,5,1,2,5,0,2,8,8,4,4,0,4,1,101905,14643,2,0,1,12
2,38,0,1,0,4,1,1,12,3,4,1,5,2,40,5,1,1,1,1,200,6,3,2,4,0,4,7,7,4,4,1,2,2,73598,13615,2,0,1,11
2,41,1,1,1,4,1,1,16,3,4,1,5,2,48,5,0,0,0,0,300,3,3,2,3,0,4,2,2,3,4,1,2,2,73598,13615,2,0,1,11
2,41,0,1,0,4,0,1,12,2,3,1,4,1,25,2,0,0,1,0,0,3,3,3,4,0,3,8,7,3,4,1,2,2,62106,10785,2,0,1,11
2,29,0,0,0,3,0,1,9,2,0,1,3,1,70,2,1,0,0,0,300,7,1,2,4,0,3,7,5,3,4,0,3,2,62106,10785,2,0,1,12
2,41,1,1,0,4,0,1,12,3,0,1,5,1,60,2,0,0,1,0,60,8,3,3,4,0,4,6,5,3,4,0,4,1,101905,14643,2,0,1,13
2,38,0,1,0,4,0,1,12,3,0,1,3,1,96,2,0,0,1,0,600,8,4,2,2,0,3,7,8,3,4,0,4,1,101905,14643,2,0,1,13
2,29,0,1,0,5,0,1,9,2,0,1,3,1,6,2,0,0,1,0,5,6,4,3,4,0,1,9,9,3,4,1,2,2,62106,10785,2,0,1,11
1,38,0,1,0,2,0,1,9,0,0,1,3,1,70,2,1,0,1,0,420,7,3,4,4,0,3,8,6,4,2,1,3,2,73598,13615,2,0,1,11
2,38,1,0,0,6,0,1,6,3,3,1,3,1,80,2,1,0,0,0,180,4,3,4,5,0,4,6,5,3,2,1,3,2,62106,10785,2,0,1,12
2,41,0,0,0,6,0,1,9,3,3,1,4,1,15,2,1,0,0,0,0,7,3,3,4,0,3,10,8,4,3,1,3,2,62106,10785,2,0,1,12
2,33,0,1,0,4,1,1,15,3,1,1,3,1,48,5,0,0,0,0,480,4,2,3,3,0,3,7,6,3,4,1,4,1,101905,14643,2,0,1,12
2,28,0,1,0,4,0,1,6,1,3,1,3,1,63,1,0,0,1,0,40,5,2,3,3,0,2,10,10,2,2,0,1,1,101905,14643,2,0,1,10
2,40,0,0,0,5,0,1,6,4,3,1,4,1,35,1,0,0,0,0,60,8,2,2,4,0,3,8,8,1,3,1,2,1,101905,14643,2,0,1,11
3,42,0,1,0,1,0,1,9,3,0,1,4,1,48,5,0,0,1,0,360,6,3,3,5,0,3,8,8,2,4,0,4,1,101905,14643,2,0,1,11
