Y,gender,urban,party,fam_size,hukou,ethno,education,age_gap,edu_gap,gender_pref,mar_satisfy,work,work_hour,insurance,care_from_par,fin_from_par,fin_par,care_par,internet,social_trust,social_status,fixed_mind,growth_mind,religion,gover_evalu,reg_eldercare,reg_childcare,health,reg_medicare,house,fam_income,fam_income_rel,area,reg_econ,reg_svc,reg_urgap,reg_eduratio,reg_mobility
2,1,1,0,3,1,1,9,11,3,1,5,1,96,2,1,0,0,0,180,3.75 ,3,3.50 ,4.00 ,0,3,5,5,3,4,0,70000,3,1,86003 ,11934.1041 ,2.218 ,0.112 ,0.716 
2,1,1,1,6,0,1,9,5,3,1,5,2,70,2,0,0,1,0,0,5.50 ,4,2.50 ,3.50 ,0,3,7,7,5,5,1,80000,3,2,92059 ,14756.7933 ,2.163 ,0.110 ,0.853 
2,1,1,0,4,0,1,6,1,0,1,5,1,20,2,0,0,1,0,120,7.75 ,4,2.00 ,4.00 ,0,4,8,8,4,4,1,110000,3,1,126829 ,13589.3505 ,2.154 ,0.113 ,0.809 
2,0,1,0,4,0,1,6,1,0,0,3,1,84,1,0,0,0,0,0,5.00 ,1,1.00 ,5.00 ,0,3,10,5,3,4,1,110000,3,1,126829 ,13589.3505 ,2.154 ,0.113 ,0.809 
2,1,1,0,3,0,1,9,1,3,1,5,1,84,2,0,0,0,0,30,5.00 ,4,2.50 ,3.50 ,0,4,8,8,4,4,0,170400,4,1,101905 ,14642.5535 ,2.411 ,0.111 ,0.711 
3,1,0,0,2,0,1,0,3,0,1,3,1,15,1,0,0,0,0,20,2.00 ,1,3.00 ,3.00 ,0,2,8,8,2,3,1,13000,1,1,101905 ,14642.5535 ,2.411 ,0.111 ,0.711 
3,1,0,0,7,0,1,9,4,3,1,3,1,40,2,0,0,0,0,0,2.75 ,3,3.00 ,4.00 ,0,3,3,1,1,2,1,170000,3,2,62106 ,10784.7954 ,2.058 ,0.146 ,0.723 
2,1,1,0,1,0,1,12,2,6,1,5,1,72,3,0,0,0,0,180,5.75 ,2,2.00 ,2.00 ,0,4,7,5,3,4,0,40000,4,1,101905 ,14642.5535 ,2.411 ,0.111 ,0.711 
1,0,0,0,3,0,0,9,1,0,1,4,1,10,2,0,0,0,0,60,4.50 ,3,3.50 ,3.00 ,0,4,7,7,3,4,1,60000,3,1,56995 ,12541.2938 ,2.132 ,0.148 ,0.750 
1,1,0,0,5,0,1,9,6,9,1,5,1,6,2,0,1,0,1,20,4.75 ,3,4.00 ,5.00 ,0,2,10,10,3,5,1,23500,1,1,56995 ,12541.2938 ,2.132 ,0.148 ,0.750 
2,1,0,0,4,0,1,6,2,6,1,5,1,70,2,1,0,1,1,60,5.00 ,1,3.00 ,3.00 ,0,3,0,10,1,5,1,5000,1,1,56995 ,12541.2938 ,2.132 ,0.148 ,0.750 
2,0,0,0,4,0,1,0,2,6,1,4,1,63,2,0,0,0,0,90,5.50 ,2,2.50 ,4.00 ,0,3,6,4,1,2,1,5000,1,1,56995 ,12541.2938 ,2.132 ,0.148 ,0.750 
2,1,0,1,6,0,1,15,3,6,1,5,1,10,0,0,0,0,0,120,3.75 ,3,3.50 ,2.00 ,0,2,7,0,1,4,1,17000,1,1,56995 ,12541.2938 ,2.132 ,0.148 ,0.750 
2,0,0,0,6,0,1,9,3,6,1,5,1,42,2,0,0,0,0,300,2.25 ,3,2.00 ,4.50 ,0,3,4,5,5,3,1,17000,1,1,56995 ,12541.2938 ,2.132 ,0.148 ,0.750 
2,0,1,0,6,0,0,6,2,0,1,5,1,49,2,0,0,1,1,120,6.25 ,3,2.50 ,5.00 ,0,4,8,8,2,4,1,80000,2,1,56995 ,12541.2938 ,2.132 ,0.148 ,0.750 
2,1,1,0,6,0,1,6,2,0,1,4,1,16,2,1,0,1,1,120,7.25 ,3,2.00 ,2.50 ,0,3,8,7,3,4,1,80000,2,1,56995 ,12541.2938 ,2.132 ,0.148 ,0.750 
2,0,1,0,6,0,1,6,3,0,1,4,1,56,3,1,0,1,1,0,6.25 ,3,3.00 ,4.00 ,0,3,8,8,3,3,1,170000,3,1,56995 ,12541.2938 ,2.132 ,0.148 ,0.750 
2,1,1,0,6,0,0,6,0,0,1,5,1,60,2,0,0,0,0,0,3.00 ,1,2.50 ,2.00 ,0,3,2,2,3,4,1,70000,2,1,56995 ,12541.2938 ,2.132 ,0.148 ,0.750 
2,1,1,0,7,0,1,0,3,6,1,5,0,0,2,0,0,0,0,120,3.25 ,2,3.00 ,3.00 ,0,2,8,6,1,4,1,203000,3,1,56995 ,12541.2938 ,2.132 ,0.148 ,0.750 
3,1,1,0,3,0,0,9,1,0,1,5,1,21,2,0,0,0,0,120,1.25 ,2,5.00 ,2.00 ,0,3,5,5,1,4,1,15000,1,1,56995 ,12541.2938 ,2.132 ,0.148 ,0.750 
2,1,1,0,3,0,1,9,2,0,1,3,1,50,2,0,0,1,1,120,3.50 ,2,3.00 ,3.00 ,0,3,5,6,1,1,1,50000,2,1,56995 ,12541.2938 ,2.132 ,0.148 ,0.750 
1,0,1,0,3,0,1,9,2,0,1,3,1,40,2,0,1,1,0,120,4.25 ,1,3.00 ,3.00 ,0,4,5,4,3,4,1,50000,2,1,56995 ,12541.2938 ,2.132 ,0.148 ,0.750 
1,1,1,0,3,0,0,0,1,6,0,5,1,49,1,0,0,0,0,0,3.75 ,3,4.00 ,3.00 ,0,4,5,5,3,4,1,50000,2,1,56995 ,12541.2938 ,2.132 ,0.148 ,0.750 
1,1,1,0,5,1,0,16,3,7,1,3,2,45,5,1,1,1,1,120,4.50 ,3,3.00 ,3.50 ,0,5,8,7,3,1,1,90000,2,1,56995 ,12541.2938 ,2.132 ,0.148 ,0.750 
1,0,1,0,4,0,1,6,3,0,1,5,1,84,2,0,0,0,0,60,3.25 ,3,4.00 ,3.00 ,0,2,3,5,3,4,0,65000,3,1,56995 ,12541.2938 ,2.132 ,0.148 ,0.750 
2,1,1,0,4,0,0,6,3,0,1,1,1,56,1,0,0,0,0,0,4.25 ,1,5.00 ,1.00 ,0,3,5,8,1,4,0,65000,3,1,56995 ,12541.2938 ,2.132 ,0.148 ,0.750 
